,lemma,main form,text,ent,count_terms,chi2
0,intelligence artificiel,intelligence artificielle,intelligence artificielle | intelligences artificielles | Intelligence artificielle | Intelligence Artificielle | intelligence artificielles | intelligence Artificielle | Intelligences Artificielles | Intelligences artificielles | intelligence artificiel,,2447,6905.2692532485435
1,temps réel,temps réel,temps réel | temps réels | TEMPS Réel,,333,1401.9938539066397
2,réseau social,réseau social,réseaux sociaux | réseau social,,274,1350.080956244021
3,nouveau technologie,nouvelles technologies,nouvelles technologies | nouvelle technologie | Nouvelles technologies,,197,870.9950125867597
4,machine learning,machine learning,machine learning | Machine Learning,,179,860.4563914028113
5,apprentissage automatique,apprentissage automatique,apprentissage automatique | Apprentissage automatique,,140,693.3926839106072
6,dernier année,dernières années,dernières années | derniers années | DERNIÈRES ANNÉES | dernière année,,130,574.1863229211514
7,voiture autonome,voiture autonome,voiture autonome | voitures autonomes | Voiture autonome | Voitures autonomes | voiture autonomes,,117,702.9496053124708
8,donnée personnel,données personnelles,données personnelles | Données personnelles | donnée personnelle,,117,632.335176348737
9,reconnaissance facial,reconnaissance faciale,reconnaissance faciale | Reconnaissance faciale,,104,911.2607640166641
10,grand nombre,grand nombre,grand nombre | grands nombres,,104,519.0355502733083
11,vie priver,vie privée,vie privée | Vie privée,,100,632.2915673147166
12,directeur général,directeur général,directeur général | Directeur Général | Directeur général,,96,510.79388853733514
13,grand public,grand public,grand public | GRAND PUBLIC | grands publics,,95,515.2355745246163
14,nouveau outil,nouveaux outils,nouveaux outils | nouvel outil | Nouvel outil | Nouveaux outils,,93,461.8772969750967
15,silicon valley,silicon valley,Silicon Valley,,93,615.858036714102
16,intelligence humain,intelligence humaine,intelligence humaine | intelligences humaines | intelligences humaine,,93,554.7059010138731
17,elon musk,elon musk,Elon Musk | ELON MUSK,,87,553.8953793315203
18,cerveau humain,cerveau humain,cerveau humain | cerveaux humains,,87,475.5132232484338
19,langage naturel,langage naturel,langage naturel,,86,535.7348750911428
